ticket_id,status,status_group,priority,source,topic,product_group,support_level,agent_group,agent_name,country,latitude,longitude,created_at,created_date,year_month,created_year,created_month_number,created_month_name,created_quarter,created_day_name,expected_first_response_at,first_response_at,response_target_minutes,first_response_minutes,source_response_sla_status,calculated_response_sla_status,response_sla_breached,expected_resolution_at,resolution_at,resolution_target_hours,resolution_hours,source_resolution_sla_status,calculated_resolution_sla_status,resolution_sla_breached,closed_at,closure_hours,agent_interactions,survey_score,is_active_backlog,is_completed,active_overdue,backlog_age_days,invalid_response_timestamp,response_sla_label_mismatch,resolution_sla_label_mismatch,data_quality_issue,agent_id
1028,Resolved,Completed,Low,Chat,Bug report,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Bulgaria,42.7249925,25.4833039,2023-01-04 21:46:12.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 21:48:12.000000,2023-01-04 21:46:51.236000,2.0,0.65,Within SLA,Within SLA,False,2023-01-05 21:46:12.000000,2023-01-05 13:28:20.309000,24.0,15.7,Within SLA,Within SLA,False,,,2.0,,False,True,False,0.0,False,False,False,None,AG003
1029,Closed,Completed,Medium,Chat,Feature request,Custom software development,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,2023-01-04 09:12:41.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 09:14:41.000000,2023-01-04 09:13:35.162000,2.0,0.9,Within SLA,Within SLA,False,2023-01-05 09:12:41.000000,2023-01-05 07:45:18.346000,24.0,22.54,Within SLA,Within SLA,False,2023-01-06 23:18:19.761000,62.09,60.0,5.0,False,True,False,0.0,False,False,False,None,AG001
1030,Closed,Completed,Medium,Chat,Feature request,Ready to use Software,Tier 1,1st line support,Connor Danielovitch,Germany,51.165691,10.451526,2023-01-04 19:36:58.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 19:38:58.000000,2023-01-04 19:37:55.723000,2.0,0.96,Within SLA,Within SLA,False,2023-01-05 19:36:58.000000,2023-01-05 02:24:20.008000,24.0,6.79,Within SLA,Within SLA,False,2023-01-11 06:16:49.063000,154.66,5.0,4.0,False,True,False,0.0,False,False,False,None,AG002
1031,In progress,Active,Low,Email,Feature request,Ready to use Software,Tier 1,1st line support,Kristos Westoll,United Kingdom,55.378052,-3.435973,2023-01-04 18:08:24.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 19:08:24.000000,2023-01-04 18:13:04.107000,60.0,4.67,Within SLA,Within SLA,False,2023-01-06 18:08:24.000000,,48.0,,SLA Violated,SLA Violated,True,,,4.0,,True,False,True,364.48,False,False,False,None,AG003
1032,Resolved,Completed,Low,Email,Product setup,Other,Tier 2,2nd line support,Heather Urry,Germany,51.165691,10.451526,2023-01-04 12:47:17.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 13:47:17.000000,2023-01-04 13:20:44.142000,60.0,33.45,Within SLA,Within SLA,False,2023-01-06 12:47:17.000000,2023-01-05 07:54:03.448000,48.0,19.11,Within SLA,Within SLA,False,,,2.0,,False,True,False,0.0,False,False,False,None,AG007
1034,In progress,Active,Low,Chat,Other,Training and Consulting Services,Tier 1,1st line support,Connor Danielovitch,Germany,51.165691,10.451526,2023-01-04 19:06:20.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 19:08:20.000000,2023-01-04 19:07:35.320000,2.0,1.26,Within SLA,Within SLA,False,2023-01-05 19:06:20.000000,,24.0,,SLA Violated,SLA Violated,True,,,9.0,,True,False,True,364.44,False,False,False,None,AG002
1035,In progress,Active,High,Email,Training request,Training and Consulting Services,Tier 1,1st line support,Connor Danielovitch,Germany,51.165691,10.451526,2023-01-04 05:27:57.000000,2023-01-04,2023-01,2023,1,January,Q1,Wednesday,2023-01-04 06:27:57.000000,2023-01-04 06:07:00.171000,60.0,39.05,Within SLA,Within SLA,False,2023-01-06 05:27:57.000000,,48.0,,SLA Violated,SLA Violated,True,,,7.0,,True,False,True,365.01,False,False,False,None,AG002
1037,Resolved,Completed,Low,Email,Product setup,Custom software development,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,2023-01-05 12:10:27.000000,2023-01-05,2023-01,2023,1,January,Q1,Thursday,2023-01-05 13:10:27.000000,2023-01-05 12:34:20.255000,60.0,23.89,Within SLA,Within SLA,False,2023-01-07 12:10:27.000000,2023-01-07 11:23:15.054000,48.0,47.21,Within SLA,Within SLA,False,,,1.0,,False,True,False,0.0,False,False,False,None,AG005
1038,Closed,Completed,High,Chat,Other,Other,Tier 1,1st line support,Bernard Beckley,Italy,43.036776,12.678565,2023-01-05 04:18:55.000000,2023-01-05,2023-01,2023,1,January,Q1,Thursday,2023-01-05 04:20:55.000000,2023-01-05 04:19:42.046000,2.0,0.78,Within SLA,Within SLA,False,2023-01-06 04:18:55.000000,2023-01-05 19:22:17.161000,24.0,15.06,Within SLA,Within SLA,False,2023-01-12 18:08:53.602000,181.83,3.0,3.0,False,True,False,0.0,False,False,False,None,AG001
1039,Resolved,Completed,Medium,Chat,Purchasing and invoicing,Custom software development,Tier 2,2nd line support,Adolpho Messingham,Poland,52.536273,19.050639,2023-01-05 05:16:19.000000,2023-01-05,2023-01,2023,1,January,Q1,Thursday,2023-01-05 05:18:19.000000,2023-01-05 05:18:00.531000,2.0,1.69,Within SLA,Within SLA,False,2023-01-06 05:16:19.000000,2023-01-05 07:37:10.835000,24.0,2.35,Within SLA,Within SLA,False,,,3.0,,False,True,False,0.0,False,False,False,None,AG006
1040,In progress,Active,High,Chat,Bug report,Ready to use Software,Tier 2,2nd line support,Heather Urry,Poland,52.536273,19.050639,2023-01-05 14:30:37.000000,2023-01-05,2023-01,2023,1,January,Q1,Thursday,2023-01-05 14:32:37.000000,2023-01-05 14:31:02.365000,2.0,0.42,Within SLA,Within SLA,False,2023-01-06 14:30:37.000000,,24.0,,SLA Violated,SLA Violated,True,,,6.0,,True,False,True,363.63,False,False,False,None,AG007
1041,Closed,Completed,Low,Chat,Product setup,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,2023-01-05 02:59:54.000000,2023-01-05,2023-01,2023,1,January,Q1,Thursday,2023-01-05 03:01:54.000000,2023-01-05 03:04:27.475000,2.0,4.56,SLA Violated,SLA Violated,True,2023-01-06 02:59:54.000000,2023-01-05 21:50:51.227000,24.0,18.85,Within SLA,Within SLA,False,2023-01-06 11:37:32.085000,32.63,8.0,2.0,False,True,False,0.0,False,False,False,None,AG001
1043,Closed,Completed,High,Email,Pricing and licensing,Custom software development,Tier 1,1st line support,Connor Danielovitch,Italy,43.036776,12.678565,2023-01-05 03:31:45.000000,2023-01-05,2023-01,2023,1,January,Q1,Thursday,2023-01-05 04:31:45.000000,2023-01-05 04:02:04.982000,60.0,30.33,Within SLA,Within SLA,False,2023-01-07 03:31:45.000000,2023-01-06 17:14:14.261000,48.0,37.71,Within SLA,Within SLA,False,2023-01-09 18:40:33.584000,111.15,3.0,5.0,False,True,False,0.0,False,False,False,None,AG002
1044,Closed,Completed,Low,Chat,Product setup,Custom software development,Tier 1,1st line support,Kristos Westoll,Italy,43.036776,12.678565,2023-01-06 20:45:42.000000,2023-01-06,2023-01,2023,1,January,Q1,Friday,2023-01-06 20:47:42.000000,2023-01-06 20:47:41.330000,2.0,1.99,Within SLA,Within SLA,False,2023-01-07 20:45:42.000000,2023-01-07 00:07:32.803000,24.0,3.36,Within SLA,Within SLA,False,2023-01-13 23:39:58.864000,170.9,3.0,2.0,False,True,False,0.0,False,False,False,None,AG003
1045,Resolved,Completed,Medium,Email,Bug report,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Slovenia,46.1491664,14.9860106,2023-01-06 20:14:59.000000,2023-01-06,2023-01,2023,1,January,Q1,Friday,2023-01-06 21:14:59.000000,2023-01-06 20:58:29.786000,60.0,43.51,Within SLA,Within SLA,False,2023-01-08 20:14:59.000000,2023-01-08 07:15:33.362000,48.0,35.01,Within SLA,Within SLA,False,,,4.0,,False,True,False,0.0,False,False,False,None,AG003
1046,Resolved,Completed,High,Email,Bug report,Custom software development,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,2023-01-06 15:11:41.000000,2023-01-06,2023-01,2023,1,January,Q1,Friday,2023-01-06 16:11:41.000000,2023-01-06 15:35:55.110000,60.0,24.24,Within SLA,Within SLA,False,2023-01-08 15:11:41.000000,2023-01-07 06:22:47.483000,48.0,15.19,Within SLA,Within SLA,False,,,1.0,,False,True,False,0.0,False,False,False,None,AG005
1047,In progress,Active,Low,Email,Pricing and licensing,Training and Consulting Services,Tier 1,1st line support,Bernard Beckley,Greece,39.368279,21.863141,2023-01-06 03:15:21.000000,2023-01-06,2023-01,2023,1,January,Q1,Friday,2023-01-06 04:15:21.000000,2023-01-06 04:07:57.717000,60.0,52.61,Within SLA,Within SLA,False,2023-01-08 03:15:21.000000,,48.0,,SLA Violated,SLA Violated,True,,,1.0,,True,False,True,363.1,False,False,False,None,AG001
1048,In progress,Active,Low,Chat,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Greece,39.368279,21.863141,2023-01-06 23:55:57.000000,2023-01-06,2023-01,2023,1,January,Q1,Friday,2023-01-06 23:57:57.000000,2023-01-06 23:56:15.157000,2.0,0.3,Within SLA,Within SLA,False,2023-01-07 23:55:57.000000,,24.0,,SLA Violated,SLA Violated,True,,,8.0,,True,False,True,362.24,False,False,False,None,AG001
1049,Closed,Completed,Medium,Chat,Pricing and licensing,Custom software development,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,2023-01-06 12:05:00.000000,2023-01-06,2023-01,2023,1,January,Q1,Friday,2023-01-06 12:07:00.000000,2023-01-06 12:06:37.265000,2.0,1.62,Within SLA,Within SLA,False,2023-01-07 12:05:00.000000,2023-01-11 05:34:05.275000,24.0,113.48,SLA Violated,SLA Violated,True,2023-01-11 20:40:58.211000,128.6,3.0,4.0,False,True,False,0.0,False,False,False,None,AG005
1050,Closed,Completed,Low,Email,Product setup,Training and Consulting Services,Tier 1,1st line support,Nicola Wane,Spain,39.67337,-4.767726,2023-01-07 01:13:52.000000,2023-01-07,2023-01,2023,1,January,Q1,Saturday,2023-01-07 02:13:52.000000,2023-01-07 01:33:11.308000,60.0,19.32,Within SLA,Within SLA,False,2023-01-09 01:13:52.000000,2023-01-12 02:26:01.957000,48.0,121.2,SLA Violated,SLA Violated,True,2023-01-14 00:42:18.528000,167.47,6.0,4.0,False,True,False,0.0,False,False,False,None,AG004
1054,Closed,Completed,High,Email,Purchasing and invoicing,Custom software development,Tier 2,2nd line support,Michele Whyatt,Italy,43.036776,12.678565,2023-01-07 05:28:54.000000,2023-01-07,2023-01,2023,1,January,Q1,Saturday,2023-01-07 06:28:54.000000,2023-01-07 06:09:50.229000,60.0,40.94,Within SLA,Within SLA,False,2023-01-09 05:28:54.000000,2023-01-08 08:30:22.633000,48.0,27.02,Within SLA,Within SLA,False,2023-01-14 16:18:51.456000,178.83,2.0,5.0,False,True,False,0.0,False,False,False,None,AG008
1055,Closed,Completed,High,Email,Bug report,Ready to use Software,Tier 1,1st line support,Connor Danielovitch,Republic of Ireland,53.094024,-8.019675,2023-01-07 18:09:17.000000,2023-01-07,2023-01,2023,1,January,Q1,Saturday,2023-01-07 19:09:17.000000,2023-01-07 19:04:58.137000,60.0,55.69,Within SLA,Within SLA,False,2023-01-09 18:09:17.000000,2023-01-09 13:07:23.232000,48.0,42.97,Within SLA,Within SLA,False,2023-01-12 22:16:01.046000,124.11,8.0,4.0,False,True,False,0.0,False,False,False,None,AG002
1056,Resolved,Completed,Low,Email,Bug report,Custom software development,Tier 1,1st line support,Kristos Westoll,Germany,51.165691,10.451526,2023-01-07 00:13:20.000000,2023-01-07,2023-01,2023,1,January,Q1,Saturday,2023-01-07 01:13:20.000000,2023-01-07 00:19:13.578000,60.0,5.89,Within SLA,Within SLA,False,2023-01-09 00:13:20.000000,2023-01-08 13:56:19.524000,48.0,37.72,Within SLA,Within SLA,False,,,8.0,,False,True,False,0.0,False,False,False,None,AG003
1057,Closed,Completed,Medium,Email,Feature request,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,2023-01-07 09:55:14.000000,2023-01-07,2023-01,2023,1,January,Q1,Saturday,2023-01-07 10:55:14.000000,2023-01-07 10:35:51.009000,60.0,40.62,Within SLA,Within SLA,False,2023-01-09 09:55:14.000000,2023-01-09 01:35:54.021000,48.0,39.68,Within SLA,Within SLA,False,2023-01-09 09:28:09.839000,47.55,7.0,5.0,False,True,False,0.0,False,False,False,None,AG001
1058,In progress,Active,Medium,Email,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Bernard Beckley,France,48.864716,2.349014,2023-01-08 13:39:52.000000,2023-01-08,2023-01,2023,1,January,Q1,Sunday,2023-01-08 14:39:52.000000,2023-01-08 14:36:27.207000,60.0,56.59,Within SLA,Within SLA,False,2023-01-10 13:39:52.000000,,48.0,,SLA Violated,SLA Violated,True,,,10.0,,True,False,True,360.67,False,False,False,None,AG001
1062,In progress,Active,Low,Chat,Pricing and licensing,Custom software development,Tier 1,1st line support,Nicola Wane,Republic of Ireland,53.094024,-8.019675,2023-01-08 19:35:27.000000,2023-01-08,2023-01,2023,1,January,Q1,Sunday,2023-01-08 19:37:27.000000,2023-01-08 19:36:35.285000,2.0,1.14,Within SLA,Within SLA,False,2023-01-09 19:35:27.000000,,24.0,,SLA Violated,SLA Violated,True,,,60.0,,True,False,True,360.42,False,False,False,None,AG004
1063,Closed,Completed,Low,Phone,Feature request,Ready to use Software,Tier 1,1st line support,Kristos Westoll,United Kingdom,55.378052,-3.435973,2023-01-08 04:56:45.000000,2023-01-08,2023-01,2023,1,January,Q1,Sunday,2023-01-08 04:58:45.000000,2023-01-08 05:01:41.476000,2.0,4.94,SLA Violated,SLA Violated,True,2023-01-10 04:56:45.000000,2023-01-08 08:51:45.370000,48.0,3.92,Within SLA,Within SLA,False,2023-01-12 04:26:34.100000,95.5,2.0,1.0,False,True,False,0.0,False,False,False,None,AG003
1064,Closed,Completed,High,Chat,Other,Ready to use Software,Tier 1,1st line support,Connor Danielovitch,United Kingdom,55.378052,-3.435973,2023-01-08 10:58:22.000000,2023-01-08,2023-01,2023,1,January,Q1,Sunday,2023-01-08 11:00:22.000000,2023-01-08 10:59:35.789000,2.0,1.23,Within SLA,Within SLA,False,2023-01-09 10:58:22.000000,2023-01-08 17:42:49.306000,24.0,6.74,Within SLA,Within SLA,False,2023-01-10 20:07:57.409000,57.16,5.0,5.0,False,True,False,0.0,False,False,False,None,AG002
1065,Closed,Completed,Medium,Chat,Product setup,Ready to use Software,Tier 1,1st line support,Sheela Cutten,United Kingdom,55.378052,-3.435973,2023-01-08 01:00:01.000000,2023-01-08,2023-01,2023,1,January,Q1,Sunday,2023-01-08 01:02:01.000000,2023-01-08 01:01:24.891000,2.0,1.4,Within SLA,Within SLA,False,2023-01-09 01:00:01.000000,2023-01-08 04:07:23.580000,24.0,3.12,Within SLA,Within SLA,False,2023-01-10 14:51:41.345000,61.86,3.0,3.0,False,True,False,0.0,False,False,False,None,AG005
1066,Resolved,Completed,Medium,Chat,Product setup,Ready to use Software,Tier 1,1st line support,Sheela Cutten,Spain,39.67337,-4.767726,2023-01-09 14:16:59.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 14:18:59.000000,2023-01-09 14:17:22.391000,2.0,0.39,Within SLA,Within SLA,False,2023-01-10 14:16:59.000000,2023-01-10 06:21:28.868000,24.0,16.07,Within SLA,Within SLA,False,,,6.0,,False,True,False,0.0,False,False,False,None,AG005
1067,Resolved,Completed,Low,Email,Product setup,Custom software development,Tier 1,1st line support,Sheela Cutten,Germany,51.165691,10.451526,2023-01-09 15:09:10.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 16:09:10.000000,2023-01-09 15:37:18.542000,60.0,28.14,Within SLA,Within SLA,False,2023-01-11 15:09:10.000000,2023-01-11 01:02:32.459000,48.0,33.89,Within SLA,Within SLA,False,,,3.0,,False,True,False,0.0,False,False,False,None,AG005
1068,Closed,Completed,Low,Email,Product setup,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Greece,39.368279,21.863141,2023-01-09 14:10:12.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 15:10:12.000000,2023-01-09 14:48:04.246000,60.0,37.87,Within SLA,Within SLA,False,2023-01-11 14:10:12.000000,2023-01-10 19:32:16.928000,48.0,29.37,Within SLA,Within SLA,False,2023-01-10 23:22:09.144000,33.2,3.0,1.0,False,True,False,0.0,False,False,False,None,AG003
1069,Closed,Completed,Medium,Email,Pricing and licensing,Custom software development,Tier 2,2nd line support,Heather Urry,Poland,52.536273,19.050639,2023-01-09 17:25:30.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 18:25:30.000000,2023-01-09 17:57:41.562000,60.0,32.19,Within SLA,Within SLA,False,2023-01-11 17:25:30.000000,2023-01-10 12:39:05.914000,48.0,19.23,Within SLA,Within SLA,False,2023-01-15 09:04:12.484000,135.65,2.0,5.0,False,True,False,0.0,False,False,False,None,AG007
1070,Resolved,Completed,High,Email,Pricing and licensing,Custom software development,Tier 2,2nd line support,Adolpho Messingham,Germany,51.165691,10.451526,2023-01-09 18:55:21.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 19:55:21.000000,2023-01-09 19:32:12.017000,60.0,36.85,Within SLA,Within SLA,False,2023-01-11 18:55:21.000000,2023-01-15 17:10:06.485000,48.0,142.25,SLA Violated,SLA Violated,True,,,1.0,,False,True,False,0.0,False,False,False,None,AG006
1071,Closed,Completed,Medium,Email,Training request,Training and Consulting Services,Tier 2,2nd line support,Michele Whyatt,Republic of Ireland,53.094024,-8.019675,2023-01-09 11:56:11.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 12:56:11.000000,2023-01-09 12:16:08.154000,60.0,19.95,Within SLA,Within SLA,False,2023-01-11 11:56:11.000000,2023-01-10 16:04:07.277000,48.0,28.13,Within SLA,Within SLA,False,2023-01-12 10:45:03.468000,70.81,1.0,4.0,False,True,False,0.0,False,False,False,None,AG008
1072,Closed,Completed,High,Email,Feature request,Custom software development,Tier 1,1st line support,Sheela Cutten,Germany,51.165691,10.451526,2023-01-09 20:14:31.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 21:14:31.000000,2023-01-09 20:29:39.010000,60.0,15.13,Within SLA,Within SLA,False,2023-01-11 20:14:31.000000,2023-01-09 20:44:54.124000,48.0,0.51,Within SLA,Within SLA,False,2023-01-12 00:24:18.715000,52.16,1.0,5.0,False,True,False,0.0,False,False,False,None,AG005
1073,Closed,Completed,Medium,Email,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Greece,39.368279,21.863141,2023-01-09 09:10:39.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 10:10:39.000000,2023-01-09 09:17:01.493000,60.0,6.37,Within SLA,Within SLA,False,2023-01-11 09:10:39.000000,2023-01-09 21:58:19.008000,48.0,12.79,Within SLA,Within SLA,False,2023-01-11 01:48:08.451000,40.62,7.0,3.0,False,True,False,0.0,False,False,False,None,AG003
1074,Closed,Completed,Low,Chat,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Nicola Wane,Slovenia,46.1491664,14.9860106,2023-01-09 06:50:00.000000,2023-01-09,2023-01,2023,1,January,Q1,Monday,2023-01-09 06:52:00.000000,2023-01-09 06:54:53.804000,2.0,4.9,SLA Violated,SLA Violated,True,2023-01-10 06:50:00.000000,2023-01-09 22:42:49.505000,24.0,15.88,Within SLA,Within SLA,False,2023-01-13 01:00:44.792000,90.18,3.0,4.0,False,True,False,0.0,False,False,False,None,AG004
